headline,publisher,date,stock,headline_length,keywords,hour
"Xerox Annual Meeting: Chairman Details Financial Position, Transformation and Growth Strategy",Benzinga Staff,,XRX,93,"['xerox annual meeting', 'details financial position', 'transformation', 'strategy']",
Dr Faessel 2-22-2011,Dr. John L Faessel,,BHP,20,['dr faessel'],
"Joe Terranova Is Watching Tech Names (TER, MRVL, ADI, GOOG)",Craig Jones,,MRVL,59,"['joe terranova', 'watching tech names', 'ter', 'mrvl', 'adi', 'goog']",
JP Morgan Lowers PT on Freescale Semiconductor to $16,Joe Young,,FSL,53,"['jp morgan lowers pt', 'freescale semiconductor']",
Tech Earnings Reflect Conscious Attempts At Circumventing Headwinds,Shanthi Rexaline,,IBM,67,"['tech earnings reflect conscious attempts', 'circumventing headwinds']",
Gabelli & Co. Downgrades CST Brands to Hold,Paul Quintaro,2016-08-23 11:55:41+00:00,CST,43,"['gabelli', 'co', 'downgrades cst brands', 'hold']",11.0
Mid-Morning Market Update: Markets Mostly Flat; Alaska Air To Acquire Virgin America For $57/Share,Lisa Levin,,BRCD,98,"['mid-morning market update', 'markets', 'flat', 'alaska', 'acquire', 'america', '$ 57/share']",
Stocks Hitting 52-Week Highs,Lisa Levin,,PSO,28,"['stocks', 'highs']",
"Earnings Scheduled For August 25, 2015",Monica Gerson,,BHP,38,"['earnings scheduled', 'august']",
Top 4 NYSE Stocks In The Auto Dealerships Industry With The Lowest PEG Ratio,Monica Gerson,,ABG,76,"['top', 'nyse stocks', 'auto dealerships', 'lowest peg ratio']",
15 Biggest Mid-Day Losers For Thursday,Lisa Levin,,WNR,38,['biggest mid-day losers'],
Mark Fisher Advises Investors To Take Shelter In Oil Instead Of Gold,Monica Gerson,,OXY,68,"['mark fisher advises', 'shelter']",
Fossil Option Alert: May 18 $16 Calls Sweep (19) at the Ask: 587 @ $1.051 vs 3685 OI; Earnings 5/8 After Close [est] Ref=$14.36,Charles Gross,,FOSL,127,"['fossil option alert', 'may', 'sweep', '@ $', 'oi', 'earnings', 'close', '[ est ]', 'ref=']",
"ETFs to Watch April 18, 2012 (XLF, KOL, INP)",Gordon Wilcox,,XLF,44,"['etfs', 'watch april', 'xlf', 'kol', 'inp']",
Puts Purchased on E*TRADE Financial Corporation,Michael J. Zerinskas,,ETFC,47,"['puts purchased', 'trade financial']",
Planned NRG and Edison Mission Energy Merger Receives Approval from FERC,Eddie Staley,,NRG,72,"['planned nrg', 'edison', 'energy', 'receives approval', 'ferc']",
"JP Morgan Initiates Coverage on CSX at Overweight, Announces $41.00 PT",Paul Quintaro,,CSX,70,"['jp morgan initiates coverage', 'csx', 'overweight', 'announces', 'pt']",
Buckeye Says Borco Oil Terminal in Bahamas is Fully Operational,Matthew Kennedy,,BPL,63,"['buckeye says borco', 'terminal', 'bahamas', 'fully operational']",
"Nymox Shares Spike Higher, Turn Positive, Now Up 1.7%; BZ NOTE: News of Filing for Approval Was Disclosed Last Week, Press Release Wednesday Was Strictly to Highlight Conference Call",Paul Quintaro,,NYMX,182,"['nymox shares spike', 'turn positive', 'up', 'bz note', 'filing', 'approval was disclosed', 'release', 'was strictly', 'highlight', 'call']",
Verizon brings on thousands of additional personnel to assist with operations during strike,Paul Quintaro,,VZ,91,"['verizon', 'additional personnel']",
10 ETFs That Should Lower Their Expense Ratios,ETF Professor,,EWZ,46,"['etfs', 'lower', 'expense ratios']",
October 2014 UK Bank of England MPC minutes: Votes 7/2 to leave rates unchanged via ForexLive,Forex Live,,FXB,93,"['october', 'uk', 'england mpc', 'votes', 'forexlive']",
"China Jo-Jo Drugstores Reports Q3 EPS $(0.04) vs. Prior Year Quarter $(0.04), Rev. $20.61M vs. Prior Year Quarter $24.7M",Paul Quintaro,,CJJD,120,"['china jo-jo drugstores', 'q3 eps', 'quarter', 'rev', '$ 20.61m vs', 'quarter', '$ 24.7m']",
"From Domino's Q4 Earnings Conference Call: Domestic, Int'l. Comps Were Negatively Impacted By Calendar Shift, Q4'18 Did Not Include New Year's Eve; Sees Q1'19 Being Positively Impacted By Same Calendar Shift",Benzinga Newsdesk,,DPZ,207,"['domino', 'q4 earnings', 'call', 'domestic', 'int', 'comps were negatively impacted', 'calendar shift', ""q4'18"", 'include', ""new year 's eve"", ""q1'19"", 'positively impacted', 'calendar shift']",
Citron Research @CitronResearch now Citron exposes the lawsuits that will drive Lannett (LCI) to 0. Price gouging and leverage at its worst in pharma. citronrsearch.com,Charles Gross,,LCI,168,"['citron', 'research @', 'citronresearch', 'citron', 'lannett', 'lci', 'price']",
ACE Announces Deal to Buy Fireman's Fund High Net Worth Personal Lines Unit from Allianz for $365M,Paul Quintaro,,ACE,98,"['ace announces deal', 'buy fireman', ""'s fund"", 'high net', 'worth personal lines', 'allianz', '$ 365m']",
"Mid-Day Market Movers (TDBK, TOF, CATM, ICH)",Monica Gerson,,TOF,44,"['mid-day market movers', 'tdbk', 'tof', 'catm', 'ich']",
"Leerink Partners Global Healthcare Conf. Concludes Today, Presenters Include: Synlogic, Quanterix, Acorda Therapeutics, Bristol-Myers, Alnylam, and HCA Healthcare",Hal Lindon,,ACOR,162,"['leerink partners global healthcare conf', 'concludes', 'presenters include', 'synlogic', 'quanterix', 'acorda therapeutics', 'bristol-myers', 'alnylam', 'hca healthcare']",
UPDATE: UBS's Binetti on Kohl's Downgrade: 'Good Initiatives Can't Overcome a Tough Macro',Paul Quintaro,,KSS,90,"['update', 'ubs', 'binetti', 'kohl', 'downgrade', 'initiatives ca', 'overcome', 'tough macro']",
"Oppenheimer Upgrades Cree, Inc. to Outperform, Announces $59.00 PT",Paul Quintaro,,CREE,66,"['oppenheimer upgrades cree', 'outperform', 'announces', 'pt']",
"iKang Reports Q2 Earnings $0.28/ADS vs $0.09 In Same Qtr. Last Year, Adj. Earnings $0.29/ADS, Sales $152.4M, Up 27.3% YoY",Paul Quintaro,,KANG,121,"['ikang reports', 'q2 earnings', '$ 0.28/ads vs $', 'qtr', 'adj', 'earnings', '$ 0.29/ads', '$ 152.4m', 'up', 'yoy']",
"Fast Money Picks For October 25th (RAX, NFLX, HYG, EEM, SPY, ESV)",Craig Jones,,RAX,65,"['fast', 'picks', 'october', 'rax', 'nflx', 'hyg', 'eem', 'spy', 'esv']",
"SunTrust Robinson Humphrey Maintains Hold on Tenet Healthcare, Raises Price Target to $42",Vick Meyer,,THC,89,"['suntrust robinson humphrey maintains hold', 'tenet healthcare', 'raises price target']",
Brent Struggles to Stay Above $107 as U.S. and European Politics Weigh on Prices,Laura Brodbeck,,BNO,80,"['brent struggles', 'u.s.', 'politics weigh', 'prices']",
UPDATE: J.P. Morgan Color On HSP Target Increase,BenzingaStaffL,,HSP,48,"['update', 'j.p. morgan color', 'hsp target']",
Kudlow Says Trump To Sign US-Mexico-Canada Trade Agreement In Ceremony At G20; Says Unclear Whether G20 Will Result In Joint Communique,Benzinga Newsdesk,,EWW,135,"['kudlow says trump', 'sign us-mexico-canada', 'agreement', 'ceremony', 'g20', 'says unclear whether g20 will', 'joint communique']",
JM Smucker Cuts Guidance,Benzinga Newsdesk,,SJM,24,['jm smucker cuts guidance'],
Earthstone Energy Provides Update on Its Horizontal Ratcliffe Project,Eddie Staley,,ESTE,69,"['earthstone energy provides update', 'horizontal ratcliffe project']",
"Goldman Sachs Positive On Building Products, Favors APOG In Non-Res Market",Paul Quintaro,,APOG,74,"['goldman sachs positive', 'products', 'favors apog', 'non-res market']",
"Mid-Day Market Update: Acuity Surges On Upbeat Results, Linn Energy Falls",Jake L'Ecuyer,,STZ,73,"['mid-day market update', 'acuity surges', 'upbeat', 'linn energy']",
"Benzinga's Top Upgrades, Downgrades For July 12, 2017",Lisa Levin,,NVDA,53,"['benzinga', 'top upgrades', 'downgrades', 'july']",
Morning Market Losers,Lisa Levin,,MPO,21,['morning market losers'],
Shares of Callaway Golf are trading lower after the company announced the acquisition of Jack Wolfskin; The company expects the acquisition to be dilutive to in its first year but accretive in its second year.,Benzinga Newsdesk,,ELY,209,"['shares', 'callaway', 'jack wolfskin']",
"Benzinga's M&A Chatter for Wednesday September 10, 2014",Charles Gross,,TRW,55,"['benzinga', ""'s m"", 'chatter', 'september']",
Dow Jones Reporting Microsoft Plans to Build Rival to Amazon and eBay,Paul Quintaro,,EBAY,69,"['dow jones reporting microsoft plans', 'build rival', 'amazon']",
McDonald's Resumes Sale Of French Fries In Venezuela,Javier Hasse,,MCD,52,"['mcdonald', 'resumes sale', 'french fries', 'venezuela']",
Benzinga Mid-Day Market Update,Mark Raymon,,ORLY,30,['benzinga mid-day market update'],
MVC Capital Reports Q3 Net Increase In Net Assets From Operations Per Share $1.06 vs $(0.16) In Same Qtr. Last Year,Hal Lindon,,MVC,115,"['mvc capital', 'q3', 'assets', 'operations per share', 'vs $', 'qtr']",
CORRECTION: Wells Fargo Upgrades Weatherford International to Outperform,Eddie Staley,,WFT,72,"['correction', 'fargo upgrades weatherford', 'outperform']",
Steiner Leisuire Shares Halted News Pending,Paul Quintaro,,STNR,43,"['steiner leisuire shares halted', 'pending']",
What A Flood Of Store Closings From Macy's And Others Means For Mall REITs,Wayne Duggan,,JCP,74,"['flood', 'store closings', 'macy', 'means', 'reits']",
San Francisco Fed Investigating Wells Fargo Sales Culture -Wall Street Journal,Charles Gross,,WFC,78,"['fed investigating', 'fargo', 'culture', '-wall street journal']",
Piper Jaffray Maintains Neutral Rating And Price Target On Integra LifeSciences (IART),Bud Fox,,IART,86,"['piper jaffray maintains neutral rating', 'price target', 'integra lifesciences', 'iart']",
Morgan Stanley Sees Palo Alto Networks Inc Exiting FY14 With A Head of Steam,Dwight Einhorn,,PANW,76,"['morgan stanley', 'palo alto networks inc exiting fy14', 'head', 'steam']",
UPDATE: Stifel Nicolaus Raises PT to $44 on Rent-A-Center on RAC Acceptance Growth,David Johnson,,RCII,82,"['update', 'stifel nicolaus raises pt', 'rent-a-center', 'rac acceptance']",
"Tuesday, Wednesday's Economic Conditions And Major Market Movers: China Continues To Decline, Greece Continues Delay",Jon Kashat,,JMEI,116,"['conditions', 'market movers', 'china continues', 'decline', 'greece continues delay']",
Rexahn Pharma Receives Patent in Japan for Novel Anti-cancer Isoquinolinamine Compounds,Paul Quintaro,,RNN,87,"['rexahn pharma receives patent', 'japan', 'novel anti-cancer isoquinolinamine compounds']",
Top 4 Large-Cap Stocks In The Diversified Machinery Industry With The Highest EPS,Monica Gerson,,ITW,81,"['top', 'large-cap stocks', 'machinery', 'highest eps']",
Provectus' PV-10 Clinical Data on Treatment of Melanoma to Be Presented at 10th EADO Congress,Charles Gross,,PVCT,93,"['provectus', 'pv-10 clinical data', 'melanoma', 'be presented', 'eado congress']",
"US Dept. Of Justice Says US, West Virginia Have Reached Settlement With Antero Resources Related To Clean Water Act Violations At 32 West Virginia Sites",Benzinga Newsdesk,,AR,152,"['dept', 'says', 'virginia have reached settlement', 'antero resources related', 'clean', 'water act', 'violations', 'virginia sites']",
"Deutsche Bank Reviews Michael Kors, Ralph Lauren And Under Armour Amid Earnings This Week",Wayne Duggan,,RL,89,"['deutsche', 'reviews michael kors', 'ralph lauren', 'armour amid earnings']",
Russia ETFs Holding up Despite Gazprom Dividend Cut,ETF Professor,,TOT,51,"['russia etfs holding', 'gazprom dividend cut']",
Top 10 Commodity Producers ETFs,ETF Digest,,OIH,31,"['top', 'commodity producers etfs']",
Eastman Chemical Posts Huge Beat; Guides Higher (EMN),Michael J. Zerinskas,,EMN,53,"['eastman', 'posts huge', 'guides', 'emn']",
"Barclays Maintains Equal-weight on Citrix Systems, Inc., Raises PT to $77.00",Juan Lopez,,CTXS,76,"['barclays maintains equal-weight', 'citrix systems', 'raises pt']",
Sanderson Farms Expects 2011 To Be A Tough Year,Joe Young,,SAFM,47,"['sanderson farms expects', 'be', 'tough']",
"Earnings Scheduled For October 31, 2013",Monica Gerson,,TDC,39,"['earnings scheduled', 'october']",
What To Expect From The Red Hat Summit,Monica Gerson,,RHT,38,"['red hat', 'summit']",
Cowen & Co. Upgrades WNS (Holdings) Limited Sponsored ADR (Jersey) to Outperform,Paul Quintaro,,WNS,80,"['cowen', 'upgrades wns', 'holdings', 'limited sponsored adr', 'jersey', 'outperform']",
"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",Shivdeep Dhaliwal,2020-06-09 07:51:41+00:00,GOOG,106,"['google maps', 'offer relevant', 'covid-19 information', 'transport', 'driving', 'testing centers']",7.0
Dow Sets New Intraday High; Citigroup Impresses With Earnings,Jayson Derrick,,SSYS,61,"['dow sets', 'intraday', 'citigroup impresses', 'earnings']",
Markets Lean Into Positive Terrain Early; Powell Confirmation Hearings Start,JJ Kinahan,,BWLD,76,"['markets lean', 'positive terrain early', 'powell confirmation hearings start']",
25 Stocks Moving In Thursday's Pre-Market Session,Lisa Levin,,FCAU,49,"['stocks', 'pre-market session']",
Alcatel-Lucent Settles Lawsuit - Analyst Blog,webmaster,,ALU,45,"['alcatel-lucent settles lawsuit', 'analyst blog']",
"#PreMarket Primer: Friday, November 8: Investors Tweet A Sigh Of Relief",Laura Brodbeck,,EGO,71,"['premarket primer', 'november', 'tweet', 'sigh', 'relief']",
"Western Union Reports Inline Q4 EPS $0.42, Sales $1.38B Vs Est $1.40B",Paul Quintaro,,WU,69,"['western union reports', 'inline q4 eps', '$ 1.38b', 'vs est', '$ 1.40b']",
Ferro Corporation Announces Exploring Strategic Alternatives,Paul Quintaro,,FOE,60,"['ferro', 'announces exploring', 'alternatives']",
"Bookkeeping: Weekly Changes to Fund Positions Year 4, Week 13",tradermark,,WHR,61,"['bookkeeping', 'weekly', 'positions']",
Starboard Undecided Regarding Support for Celgene Acquisition by Bristol-Myers,Charles Gross,,BMY,78,"['starboard undecided', 'support', 'celgene acquisition', 'bristol-myers']",
Stocks That Hit 52-Week Highs On Friday,Benzinga Insights,,RNG,39,"['stocks', 'highs']",
"Hemispherx BioPharma, Inc. Reports Q2 EPS of $(0.03)",Paul Quintaro,,HEB,52,"['hemispherx biopharma', 'q2 eps']",
Market Wrap For May 13: Markets Close Again At Record Highs,Jayson Derrick,,CX,59,"['market wrap', 'may', 'markets close', 'record highs']",
Benzinga Mid-Morning Market Update,Mark Raymon,,DAL,34,['benzinga mid-morning market update'],
Atlas Pipeline Partners Reports Q4 EPS of $(0.94) Which May Not Compare $0.15 Est; Revenue of $580.10M Which May Not Compare $596.94M Est,Charles Gross,,APL,137,"['atlas pipeline partners', 'q4 eps', 'may', 'est', '$ 580.10m', 'may', '$ 596.94m', 'est']",
Puts Purchased on Rowan Companies (RDC),Michael J. Zerinskas,,RDC,39,"['puts purchased', 'rowan companies', 'rdc']",
ARRIS Reports Exclusive Deal with Echostar's Sling Media,Paul Quintaro,,ARRS,56,"['arris', 'exclusive deal', 'echostar', 'sling media']",
A Peek Into The Markets: U.S. Stock Futures Surge Ahead Of Earnings,Lisa Levin,,PANW,67,"['peek', 'markets', 'u.s.', 'futures surge ahead', 'earnings']",
"6 Stocks To Watch For July 10, 2017",Lisa Levin,,HELE,35,"['stocks', 'watch', 'july']",
"HFF Announces $104M Sale Of Meridian At Midtown In San Jose, California",Benzinga_Newsdesk,,HF,71,"['hff announces', '$ 104m', 'sale', 'meridian', 'midtown', 'san jose', 'california']",
"La-Z-Boy Announces Verdict in Lawsuit, Finds Damages Of ~$5.8M Or $0.07/Share Dilution",Hal Lindon,,LZB,86,"['la-z-boy announces verdict', 'lawsuit', 'finds damages', '~ $ 5.8m', '$ 0.07/share', 'dilution']",
CNBC's Stock Pops & Drops From September 23,Craig Jones,,BTU,43,"['cnbc', ""'s stock"", 'pops', 'drops', 'september']",
Exponent Initiated At Buy; Cantor Highlights Several Potential Catalysts,R. Chandrasekaran,,EXPO,72,"['exponent initiated', 'buy', 'cantor highlights', 'potential catalysts']",
Nuance Spokesperson Says No News Related to Spike in Share Price,Charles Gross,,NUAN,64,"['nuance spokesperson says', 'related', 'spike', 'share price']",
Viewfinity and FireEye Team to Provide Improved Security Event Analytics and Endpoint Visibility,Eddie Staley,,FEYE,96,"['viewfinity', 'fireeye team', 'provide improved', 'event analytics', 'endpoint visibility']",
UPDATE: Credit Suisse Upgrades Equifax as Stock is Poised for Revenue Acceleration,Dwight Einhorn,,EFX,82,"['update', 'credit suisse upgrades equifax', 'poised', 'acceleration']",
Alibaba's Price Target Raised Over 16% by Pacific Crest,Zacks,,ABTL,55,"['alibaba', 'price target raised', 'crest']",
"Sectors That Will Struggle in a Higher Interest Rate, Higher Bond Yield Environment",Jason Leavitt,,VNQ,83,"['sectors', 'will struggle', 'interest rate', 'bond yield environment']",
Dana Holding Corporation Reduces Debt; Receives Commitment for Five-year $500M Revolving Credit Facility,Benzinga Staff,,DAN,104,"['dana holding', 'reduces debt', 'receives commitment', 'five-year', '$ 500m', 'revolving credit facility']",
Cadbury Prefers Hershey Over Kraft,Gordon Wilcox,,HSY,34,"['cadbury prefers hershey', 'kraft']",
Shares of several oil and gas companies are trading higher amid eased trade tensions after China's Commerce Ministry stated they are open to dialogue to resolve trade tensions. Mexican officials also said they could find common ground with the US.,Benzinga Newsdesk,,BAS,247,"['shares', 'gas companies', 'trade tensions', 'china', ""'s commerce"", 'ministry', 'trade tensions', 'mexican officials', 'common ground']",
Shares of precious metals companies are trading lower amid optimism in equities ahead of the expected signing of a US-China Phase 1 trade deal this week and deescalation in Middle East.,Benzinga Newsdesk,,PAAS,185,"['shares', 'precious metals companies', 'us-china phase']",
"eHealth Reports Q3 Adj. EPS $0.30 vs $0.16 Est., Sales $38.2M vs $36.5M Est.",Paul Quintaro,,EHTH,76,"['ehealth reports', 'q3 adj', 'eps', 'vs $', 'est.', '$ 38.2m vs $ 36.5m', 'est']",
"Afternoon Market Update (COH, GES, MW, LULU, SNPS, VIRL)",Monica Gerson,,COH,56,"['afternoon market update', 'coh', 'ges', 'mw', 'lulu', 'snps', 'virl']",
"ATN Reports Q4 EPS $0.26 vs $0.31 Est., Sales $82.9M vs $77.9M Est.",Paul Quintaro,,ATNI,67,"['atn', 'q4 eps', 'vs $', 'est.', '$ 82.9m vs $ 77.9m', 'est']",
"IGI Laboratories, Inc. Reports Q2 EPS of $(0.01) vs $0.00 Est; Revenue of $3.82M vs $3.61M Est",Paul Quintaro,,IG,94,"['igi laboratories', 'q2 eps', 'vs $', 'est', '$ 3.82m vs $ 3.61m', 'est']",
"Leggett & Platt Sees Q4 Adj. EPS $0.58-$0.63 vs $0.57 Est., Sales $0.99B-$1.04B vs $967.59M Est.",Hal Lindon,,LEG,96,"['leggett', 'platt', 'q4 adj', 'eps', '$ 0.58- $', 'vs $', 'est.', '$ 0.99b- $ 1.04b vs $ 967.59m', 'est']",
"DPW Holdings Requests Withdrawal Of Registration Statement On Form S-3 Filed On Aug. 9, Say Shares No Longer To Be Registered",Benzinga Newsdesk,,DPW,125,"['dpw holdings', 'withdrawal', 'registration statement', 'form s-3 filed', 'aug.', 'say shares', 'longer', 'be registered']",
Real Estate Roundup: Saia Growth Tied To Hunt For New Business,FreightWaves,,SAIA,62,"['real estate roundup', 'saia', 'tied', 'hunt', 'new business']",
Benzinga's Top #PreMarket Gainers,Monica Gerson,,ENDP,33,"['benzinga', 'top', 'premarket gainers']",
RH Shares Up 8% Following Strong Guidance,Paul Quintaro,,RH,41,"['rh shares up', 'following strong guidance']",
Brian Kelly Likes NBG And EWP,Craig Jones,,NBG,29,"['brian kelly likes nbg', 'ewp']",
Benzinga's Top Downgrades,Monica Gerson,,NOC,25,"['benzinga', 'top downgrades']",
"Mizuho Maintains Buy on Aerie Pharmaceuticals, Lowers Price Target to $29",Vick Meyer,2020-05-07 15:35:40+00:00,AERI,73,"['mizuho maintains buy', 'aerie pharmaceuticals', 'lowers price target']",15.0
BHP Billiton Annual Profit Declines 30%,Monica Gerson,,BHP,39,['bhp billiton annual profit declines'],
An ETF With A Unique View Of Low Volatility,ETF Professor,,KO,43,"['etf', 'unique', 'low volatility']",
Webster Capital To Acquire Dover For $8.50/Share; To Be Taken Private,Hal Lindon,2015-04-14 12:01:04+00:00,DOVR,69,"['webster capital', 'acquire dover', '$ 8.50/share', 'be taken']",12.0
"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",Benzinga Newsdesk,,FHN,390,"['shares', 'financial services sector', 'market weakness', 'cautious comments', 'fed chair powell', 'downside risks', 'coronavirus pandemic', 'economic growth', 'financial sector']",
"Waste Management, Inc. Reports Q1 EPS of $0.36 vs $0.41 Est; Revenue of $3.34B vs $3.36B Est",Paul Quintaro,,WM,92,"['waste management', 'q1 eps', 'vs $', 'est', '$ 3.34b vs $ 3.36b', 'est']",
Stocks That Hit 52-Week Lows On Thursday,Lisa Levin,2020-03-19 14:49:42+00:00,MQT,40,"['stocks', 'lows']",14.0
"AtriCure Sees Q3 Sales ~$49.9M vs $46.8M Estimate, Loss $6M-$7.5M",Benzinga Newsdesk,,ATRC,65,"['atricure', 'q3', '~ $ 49.9m vs $ 46.8m', 'estimate', 'loss', '$ 6m- $ 7.5m']",
"Pericom Board Sends Letter to Shareholders Strongly Recommending They Vote ""FOR"" the Proposed Acquisition by Diodes",Eddie Staley,,PSEM,115,"['pericom', 'sends letter', 'shareholders strongly recommending', 'vote', 'for', 'proposed acquisition', 'diodes']",
Amazon Scoops Up Whole Foods in $13.7 Billion Deal,Zacks,,WFM,50,"['amazon scoops up whole', 'billion deal']",
Stocks to Watch for 07/1/11: Fresh 52 Week Highs and Lows,Benjamin Lee,,AZPN,57,"['stocks', 'watch', 'highs', 'lows']",
Molycorp Spokesperson Confirms Production Ramp at Mountain Pass,Charles Gross,,MCP,63,"['molycorp spokesperson confirms production ramp', 'mountain pass']",
Amazon Misses Wall Street Profit Estimates Sending The Stock Tumbling,IAM Newswire,,GOOGL,69,"['amazon', 'wall', 'profit', 'sending', 'tumbling']",
"CSP Files to Delay 10-K, Says Auditors Haven't Completed Review of Statements",Matthew Kennedy,,CSPI,77,"['csp files', 'delay', 'says auditors have', 'completed review']",
"J.C. Penney Says COO Mike Kramer and 2 Other Execs Haven't Left Company, Refuting New York Post Report",Paul Quintaro,,JCP,102,"['j.c. penney says coo mike kramer', 'execs have', 'left', 'refuting', 'york', 'post report']",
NeoPhotonics shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also issued Q4 EPS and sales results above analyst estimates.,Benzinga Newsdesk,,NPTN,186,"['neophotonics', 'q3 eps', 'sales results', 'q4 eps', 'sales results', 'analyst estimates']",
"Fast Money Picks For June 1st (MOS, CVS, ETN, TM)",Craig Jones,,ETN,49,"['fast', 'picks', 'june', 'mos', 'cvs', 'etn', 'tm']",
William Blair Upgrades Carnival Corporation To Outperform,Paul Quintaro,,CCL,57,"['william blair upgrades', 'carnival corporation', 'outperform']",
18 Biggest Mid-Day Gainers For Thursday,Lisa Levin,,AXP,39,['biggest mid-day gainers'],
"Integra LifeSciences Appoints Coleman as CFO, Corporate VP",David Johnson,,IART,58,"['integra lifesciences appoints coleman', 'cfo', 'vp']",
More Cybersecurity Issues Boost HACK,Matthew McCall,,PFPT,36,['cybersecurity issues boost hack'],
WSJ Reporting NASDAQ Expected to Resume Trading 'Shortly',Paul Quintaro,,NDAQ,57,"['wsj reporting nasdaq expected', 'resume']",
Boston Private Prices 2M Depositary Share Offering,Paul Quintaro,,BPFH,50,"['prices', 'depositary share offering']",
Earnings Expectations for the Week of January 21,Nelson Hem,,BHI,48,"['earnings expectations', 'january']",
Philips Evaluating Resmed Data To See IfIt Might Impact Patients Using AutoSV/BIPAP Advanced Devices,Paul Quintaro,,RMD,100,"['philips evaluating resmed data', 'ifit might impact patients', 'autosv/bipap advanced devices']",
Blackberry Spikes to Highs,Charles Gross,,BBRY,26,"['blackberry spikes', 'highs']",
May 2010 Rewind - Sovereign Debt Cascade,Market Rewind,,XLP,40,"['may', 'rewind', 'sovereign debt cascade']",
CACI Wins $31M Navy Contract,Hal Lindon,,CACI,28,"['caci wins', '$ 31m navy', 'contract']",
"Applied Optoelectronics Sees Q3 Sales $82-$92M vs $90M Est., EPS $0.54-$0.75 vs $0.64 Est.",Benzinga_Newsdesk,,AAOI,90,"['applied optoelectronics', 'q3', '$ 82- $ 92m vs $ 90m', 'est.', 'eps', '$ 0.54- $', 'vs $', 'est']",
Tyco to Sell ADT Korea to Carlyle Group for $1.93B,Charles Gross,,TYC,50,"['tyco', 'sell adt korea', 'carlyle', '$ 1.93b']",
Is This High-Yield Green Energy Stock Flying Under The Radar?,Bill Stoller,,KMI,61,"['high-yield', 'energy', 'flying', 'radar']",
Stocks That Hit 52-Week Lows On Wednesday,Lisa Levin,,HNP,41,"['stocks', 'lows']",
PepsiCo Near Important Moving Averages; Transocean Closing in to Resistance,Traders Huddle,,PEP,75,"['pepsico near', 'averages', 'transocean closing', 'resistance']",
"Raymond James Upgrades Verizon Communications Inc. to Outperform, Announces $48.00 PT",Paul Quintaro,,VZ,85,"['raymond james upgrades verizon communications', 'outperform', 'announces', 'pt']",
How it happened for EUR/CHF when the SNB pulled the plug via ForexLive,Forex Live,,FXF,70,"['eur/chf', 'snb', 'forexlive']",
UPDATE: J.P. Morgan Lowers Price Target On Plantronics To $43,Steven Anfield,,PLT,61,"['update', 'j.p. morgan lowers price target', 'plantronics']",
"Stocks To Watch For September 3, 2014",Monica Gerson,,NAV,37,"['stocks', 'watch', 'september']",
"Nordstrom Files For Potential Mixed Shelf Offering, Size Not Disclosed",Benzinga Newsdesk,,JWN,70,"['nordstrom files', 'potential mixed shelf offering', 'size', 'disclosed']",
5 Companies That Narrowly Escaped Disaster,Wayne Duggan,,VZ,42,"['companies', 'narrowly escaped disaster']",
Clovis Addresses Some Of The Company's Biggest Controversies,Jayson Derrick,,CLVS,60,"['clovis addresses', ""company 's"", 'biggest controversies']",
Flexion Sees FY19 Product Sales $65M-$80M,Benzinga Newsdesk,,FLXN,41,"['flexion', 'fy19 product', '$ 65m- $ 80m']",
UPDATE: AES Reports Rise In Q3 Profit,Lisa Levin,,AES,37,"['update', 'aes', 'rise', 'q3 profit']",
Carnival Earnings Preview,Scott Rubin,,CCL,25,['earnings preview'],
Blucora Spikes Higher on Volume,Charles Gross,,BCOR,31,['blucora spikes'],
Portland General Electric Company Reports Q3 EPS of $0.40 vs $0.47 Est; Revenue of $435.0M vs $443.83M Est,Paul Quintaro,,POR,106,"['portland', 'general electric company reports', 'q3 eps', 'vs $', 'est', '$ 435.0m vs $ 443.83m', 'est']",
"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V. Reports Dec. Passenger Traffic Up 0.2%, Up 4.8% YoY",Paul Quintaro,,OMAB,104,"['grupo aeroportuario', 'centro norte', 's.a.b', 'c.v.', 'dec', 'passenger', 'up', 'up', 'yoy']",
"New Gold Reports Q4 Gold Production Of 110.56K Ounces, FY18 Production Of 455.45K Ounces",Benzinga Newsdesk,,NGD,88,"['new gold reports', 'q4', 'production', 'ounces', 'fy18 production', 'ounces']",
"Versar, Inc. Awarded $2.8 Million Project",Benzinga Staff,,VSR,41,"['versar', 'inc', 'awarded', 'million project']",
"Morgan Stanley Maintains Overweight on Dollar General, Raises Price Target to $174",Vick Meyer,,DG,82,"['morgan stanley maintains overweight', 'raises price target']",
European Market Prelim Close: Green,Allie Wickman,,EWG,35,['market prelim close'],
"Earnings Scheduled For July 31, 2019",Lisa Levin,,D,36,"['earnings scheduled', 'july']",
"For One Day, Coal ETF is a Diamond",ETF Professor,,KOL,34,"['etf', 'diamond']",
No Clear Flight Path For Airlines On Sustainable Jet Fuel,FreightWaves,,DAL,57,"['clear', 'path', 'jet fuel']",
